r (angstrom)  ,  normalised by natoms
      0.00 ,      0.00000000
      0.10 ,      0.00000000
      0.20 ,      0.00000000
      0.30 ,      0.00000000
      0.40 ,      0.00000000
      0.50 ,      0.00000000
      0.60 ,      0.00000000
      0.70 ,      0.00000000
      0.80 ,      0.00000000
      0.90 ,      0.00000000
      1.00 ,      0.00000000
      1.10 ,      0.00000000
      1.20 ,      0.00000002
      1.30 ,      0.00000412
      1.40 ,      0.00031715
      1.50 ,      0.00968166
      1.60 ,      0.12147836
      1.70 ,      0.66669210
      1.80 ,      1.76086594
      1.90 ,      2.48822123
      2.00 ,      2.04114886
      2.10 ,      1.05625789
      2.20 ,      0.43989639
      2.30 ,      0.28578647
      2.40 ,      0.45871158
      2.50 ,      0.82027559
      2.60 ,      1.01741019
      2.70 ,      1.09357928
      2.80 ,      1.41513127
      2.90 ,      1.91131303
      3.00 ,      2.19523042
      3.10 ,      2.18952277
      3.20 ,      2.21156179
      3.30 ,      2.28636312
      3.40 ,      2.26072170
      3.50 ,      2.24756889
      3.60 ,      2.22739043
      3.70 ,      2.20768385
      3.80 ,      2.31743338
      3.90 ,      2.42251704
      4.00 ,      2.37441541
      4.10 ,      2.42579630
      4.20 ,      2.72847410
      4.30 ,      2.96152264
      4.40 ,      2.89524637
      4.50 ,      2.95847261
      4.60 ,      3.22703733
      4.70 ,      3.35441708
      4.80 ,      3.30432919
      4.90 ,      3.24908583
      5.00 ,      3.25443937
      5.10 ,      3.35174329
      5.20 ,      3.59592781
      5.30 ,      3.75486628
      5.40 ,      3.67933002
      5.50 ,      3.54231046
      5.60 ,      3.58294168
      5.70 ,      3.73827150
      5.80 ,      3.80238814
      5.90 ,      3.76409619
      6.00 ,      3.70236726
      6.10 ,      3.74054206
      6.20 ,      3.86301840
      6.30 ,      4.02951530
      6.40 ,      4.25562513
      6.50 ,      4.42072450
      6.60 ,      4.29520373
      6.70 ,      4.13923493
      6.80 ,      4.28706712
      6.90 ,      4.41479832
      7.00 ,      4.20569369
      7.10 ,      3.99791522
      7.20 ,      4.09053506
      7.30 ,      4.16107486
      7.40 ,      4.19591224
      7.50 ,      4.20275512
      7.60 ,      4.10204083
      7.70 ,      4.09104079
      7.80 ,      4.25644269
      7.90 ,      4.45716322
      8.00 ,      4.53983933
      8.10 ,      4.39875852
      8.20 ,      4.11546793
      8.30 ,      3.98048575
      8.40 ,      3.89191533
      8.50 ,      3.71819339
      8.60 ,      3.57499422
      8.70 ,      3.52143825
      8.80 ,      3.50102931
      8.90 ,      3.43735655
      9.00 ,      3.39540015
      9.10 ,      3.42151365
      9.20 ,      3.57640945
      9.30 ,      3.68861451
      9.40 ,      3.51907551
      9.50 ,      3.26771813
      9.60 ,      3.13175016
      9.70 ,      3.21157407
      9.80 ,      3.35808143
      9.90 ,      3.35783284
     10.00 ,      3.16987850
     10.10 ,      2.99051823
     10.20 ,      2.89759789
     10.30 ,      2.75804288
     10.40 ,      2.62351137
     10.50 ,      2.62040284
     10.60 ,      2.59888231
     10.70 ,      2.41100994
     10.80 ,      2.11780704
     10.90 ,      1.93606106
     11.00 ,      1.85738224
     11.10 ,      1.74802552
     11.20 ,      1.58841302
     11.30 ,      1.43799192
     11.40 ,      1.42541417
     11.50 ,      1.49223708
     11.60 ,      1.43744274
     11.70 ,      1.27638944
     11.80 ,      1.25607220
     11.90 ,      1.34988842
     12.00 ,      1.29430381
     12.10 ,      1.04579096
     12.20 ,      0.81850970
     12.30 ,      0.70404211
     12.40 ,      0.71708056
     12.50 ,      0.77090263
     12.60 ,      0.75077853
     12.70 ,      0.68460751
     12.80 ,      0.60778669
     12.90 ,      0.53100905
     13.00 ,      0.49479917
     13.10 ,      0.40365722
     13.20 ,      0.28334956
     13.30 ,      0.25422184
     13.40 ,      0.23687601
     13.50 ,      0.18159835
     13.60 ,      0.16025739
     13.70 ,      0.15276156
     13.80 ,      0.13157894
     13.90 ,      0.12154785
     14.00 ,      0.09285669
     14.10 ,      0.06756665
     14.20 ,      0.05961089
     14.30 ,      0.03674822
     14.40 ,      0.01114001
     14.50 ,      0.00147137
     14.60 ,      0.00007913
     14.70 ,      0.00000166
     14.80 ,      0.00000001
     14.90 ,      0.00000000
     15.00 ,      0.00000000
     15.10 ,      0.00000000
     15.20 ,      0.00000000
     15.30 ,      0.00000000
     15.40 ,      0.00000000
     15.50 ,      0.00000000
     15.60 ,      0.00000000
     15.70 ,      0.00000000
     15.80 ,      0.00000000
     15.90 ,      0.00000000
     16.00 ,      0.00000000
