r (angstrom)  ,  normalised by natoms
      0.00 ,      0.00000000
      0.05 ,      0.00000000
      0.10 ,      0.00000000
      0.15 ,      0.00000000
      0.20 ,      0.00000001
      0.25 ,      0.00000003
      0.30 ,      0.00000007
      0.35 ,      0.00000017
      0.40 ,      0.00000043
      0.45 ,      0.00000103
      0.50 ,      0.00000240
      0.55 ,      0.00000546
      0.60 ,      0.00001213
      0.65 ,      0.00002628
      0.70 ,      0.00005555
      0.75 ,      0.00011451
      0.80 ,      0.00023027
      0.85 ,      0.00045167
      0.90 ,      0.00086416
      0.95 ,      0.00161278
      1.00 ,      0.00293600
      1.05 ,      0.00521362
      1.10 ,      0.00903080
      1.15 ,      0.01525873
      1.20 ,      0.02514879
      1.25 ,      0.04043188
      1.30 ,      0.06340757
      1.35 ,      0.09699983
      1.40 ,      0.14474933
      1.45 ,      0.21070831
      1.50 ,      0.29920655
      1.55 ,      0.41446819
      1.60 ,      0.56008027
      1.65 ,      0.73834498
      1.70 ,      0.94958342
      1.75 ,      1.19149315
      1.80 ,      1.45868510
      1.85 ,      1.74252803
      1.90 ,      2.03140389
      1.95 ,      2.31142404
      2.00 ,      2.56757986
      2.05 ,      2.78521609
      2.10 ,      2.95163862
      2.15 ,      3.05762131
      2.20 ,      3.09857154
      2.25 ,      3.07515862
      2.30 ,      2.99329527
      2.35 ,      2.86347372
      2.40 ,      2.69956934
      2.45 ,      2.51731216
      2.50 ,      2.33266981
      2.55 ,      2.16037832
      2.60 ,      2.01280283
      2.65 ,      1.89922669
      2.70 ,      1.82557610
      2.75 ,      1.79451154
      2.80 ,      1.80577213
      2.85 ,      1.85665234
      2.90 ,      1.94251526
      2.95 ,      2.05729103
      3.00 ,      2.19395420
      3.05 ,      2.34500425
      3.10 ,      2.50297971
      3.15 ,      2.66101656
      3.20 ,      2.81342592
      3.25 ,      2.95622610
      3.30 ,      3.08753732
      3.35 ,      3.20774389
      3.40 ,      3.31935327
      3.45 ,      3.42653032
      3.50 ,      3.53434575
      3.55 ,      3.64783651
      3.60 ,      3.77101721
      3.65 ,      3.90599683
