r (angstrom)  ,  normalised by natoms
      0.00 ,      0.00000000
      0.10 ,      0.00000000
      0.20 ,      0.00000000
      0.30 ,      0.00000000
      0.40 ,      0.00000000
      0.50 ,      0.00000000
      0.60 ,      0.00000000
      0.70 ,      0.00000000
      0.80 ,      0.00000000
      0.90 ,      0.00000000
      1.00 ,      0.00000000
      1.10 ,      0.00000000
      1.20 ,      0.00000003
      1.30 ,      0.00000665
      1.40 ,      0.00055889
      1.50 ,      0.01796734
      1.60 ,      0.22607830
      1.70 ,      1.16189706
      1.80 ,      2.63637004
      1.90 ,      2.91301254
      2.00 ,      1.61211401
      2.10 ,      0.41073195
      2.20 ,      0.04563545
      2.30 ,      0.04736586
      2.40 ,      0.36394555
      2.50 ,      1.28440646
      2.60 ,      2.35978652
      2.70 ,      2.46260913
      2.80 ,      1.43957851
      2.90 ,      0.66776147
      3.00 ,      0.36397708
      3.10 ,      0.42696078
      3.20 ,      0.92627956
      3.30 ,      1.09069119
      3.40 ,      1.04255416
      3.50 ,      1.42504880
      3.60 ,      2.42672510
      3.70 ,      3.61659051
      3.80 ,      3.80760061
      3.90 ,      2.65610069
      4.00 ,      2.12357142
      4.10 ,      2.80094308
      4.20 ,      2.63484292
      4.30 ,      1.56797864
      4.40 ,      0.77016788
      4.50 ,      0.27567242
      4.60 ,      0.24769303
      4.70 ,      0.70133314
      4.80 ,      1.08342734
      4.90 ,      1.35298717
      5.00 ,      1.61374129
      5.10 ,      1.31766740
      5.20 ,      1.07583102
      5.30 ,      1.07404492
      5.40 ,      0.94290154
      5.50 ,      0.85602039
      5.60 ,      0.80851592
      5.70 ,      1.01302433
      5.80 ,      1.31887853
      5.90 ,      1.09387632
      6.00 ,      0.46890129
      6.10 ,      0.15128701
      6.20 ,      0.41393620
      6.30 ,      1.06348586
      6.40 ,      1.46622932
      6.50 ,      1.26167698
      6.60 ,      0.70136316
      6.70 ,      0.45987276
      6.80 ,      0.39192940
      6.90 ,      0.16461481
      7.00 ,      0.03056178
      7.10 ,      0.04411303
      7.20 ,      0.15521242
      7.30 ,      0.25408264
      7.40 ,      0.38969926
      7.50 ,      0.76101705
      7.60 ,      0.90290207
      7.70 ,      0.58322046
      7.80 ,      0.45282004
      7.90 ,      0.36890555
      8.00 ,      0.33161636
      8.10 ,      0.65997619
      8.20 ,      0.73244708
      8.30 ,      0.31968077
      8.40 ,      0.05366935
      8.50 ,      0.00344001
      8.60 ,      0.00008351
      8.70 ,      0.00000076
      8.80 ,      0.00000000
      8.90 ,      0.00000000
      9.00 ,      0.00000000
      9.10 ,      0.00000000
      9.20 ,      0.00000000
      9.30 ,      0.00000000
      9.40 ,      0.00000000
      9.50 ,      0.00000000
      9.60 ,      0.00000000
      9.70 ,      0.00000000
      9.80 ,      0.00000000
      9.90 ,      0.00000000
     10.00 ,      0.00000000
